CardID,JP,KR
"S.C.H.A,L.E","S.C.H.A,L.E","S.C.H.A,L.E"
C-T-001,アロナ,아로나
C-T-001-T1,"[出撃・神秘開放]次の中から1つ選ぶ。
・カードを1枚引く。
・自分の保健室から、[EX-COMBO/アロナ]を持つカードを最大1枚選び、手札に戻す。",[출격・신비 해방] 카드를 1장 뽑는다.
C-T-065,プラナ,프라나
C-T-065-T1,"[出撃・神秘開放]次の中から1つ選ぶ。
・カードを1枚引く。
・自分の保健室から、[EX-COMBO/プラナ]を持つカードを最大1枚選び、手札に戻す。",[출격・신비 해방] 카드를 1장 뽑는다.
X-T-012,新しい生徒さんですよ,새로운 학생분이에요
X-T-012-T1,"自分の保健室から、<シッテムの箱>を最大1枚選び、手札に戻す。
[EX-COMBO/アロナ]自分のデッキをシャッフルした後、上から1枚を見る。その中から、生徒カード最大1枚を選び、コストを支払わずに出撃させる。
[EX-COMBO/プラナ]このカードで見るカードの枚数が、自分の『プラナ』のLvの合計だけ増える。","자신의 '아로나'가 필드에 있어야만 이 카드를 낼 수 있다.
[EX-COMBO / 아로나] 자신의 덱 맨 위의 카드를 본다. 그 카드가 학생 카드일 경우, 코스트를 지불하지 않고 출격시킨다. 학생 이외의 카드일 경우, 그 카드를 패로 가져온다."
X-T-013,お仕事を始める時間です,업무를 시작할 시간입니다
X-T-013-T1,"自分の保健室から、<シッテムの箱>を最大1枚選び、手札に戻す。
[EX-COMBO/プラナ]自分のデッキをシャッフルした後、上から1枚を見る。その中から、プレイ条件を満たしているEXスキルかシャーレカードコスト最大1枚を選び、コストを支払わずにプレイする。(このターン中にすでにシャーレをプレイしていても使用できる。)
[EX-COMBO/アロナ]このカードで見るカードの枚数が、自分の『アロナ』のLvの合計だけ増える。","자신의 '프라나'가 필드에 있어야만 이 카드를 낼 수 있다.
[EX-COMBO / 프라나] 자신의 덱 맨 위의 카드를 본다. 그 카드가 발동 조건을 충족한 EX 스킬 카드 또는 샬레 카드일 경우, 코스트를 지불하지 않고 발동한다. 발동할 수 없는 카드거나, EX스킬 또는 샬레 이외의 카드일 경우, 패로 가져온다. (이번 턴에 이미 샬레 카드를 발동했더라도 발동할 수 있다.)"
対策委員会,対策委員会,대책위원회
C-T-026,小鳥遊ホシノ,타카나시 호시노
C-T-026-T2,[永続]この生徒に+0/+Xする。Xの値は、自分の出撃している<アビドス>の人数とする。,[지속] 이 학생은 +0/+X를 얻는다. X는 필드에 있는 자신의 '아비도스' 학생 수다.
C-T-026-T3,[攻撃]攻撃先の生徒を疲労させる。,[공격] 이 학생에게 공격받은 학생은 피로 상태가 된다.
C-T-026-T4,[自動]他の<アビドス>が攻撃した時、攻撃先の生徒を疲労させる。,"[자동] 다른 '아비도스' 학생이 공격할 때, 공격받은 학생은 피로 상태가 된다."
C-T-026-T5,[お互いのエンドフェイズ]この生徒のHPをX回復する。Xの値は、この生徒のLv×2とする。,[서로의 엔드 페이즈] 이 학생의 HP를 X 회복한다. X는 이 학생의 Lv×2다.
C-T-028,十六夜ノノミ,이자요이 노노미
C-T-028-T1,[出撃・神秘解放]カードを1枚引く。,[출격・신비 해방] 카드를 1장 뽑는다.
C-T-028-T2,[自動]この生徒以外の自分の<アビドス>が出撃または神秘解放した時、カードを1枚引く。,"[자동] 이 학생 이외의 자신의 '아비도스' 학생이 출격 또는 신비 해방할 때, 카드를 1장 뽑는다."
C-T-028-T3,[攻撃・制圧]この生徒と同じエリアの相手のカードすべてにXダメージを与える。Xの値は、この生徒のLv×2とする。,[공격・제압] 이 학생과 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 X 대미지를 준다. X는 이 학생의 Lv×2다.
C-T-027,砂狼シロコ,스나오오카미 시로코
C-T-027-T1,[自動]この生徒または自分の<アビドス>が攻撃された時、この生徒に+X/+0する。Xはこの生徒のLvとする。この修正は永続する。,"[자동] 이 학생 또는 자신의 다른 '아비도스' 학생이 공격받을 경우, 이 학생은 +X/+0을 얻는다. X는 이 학생의 Lv이다. 이렇게 얻은 능력치는 필드에 있는 동안 지속된다."
C-T-027-T2,[出撃・神秘解放]自分のデッキからEXスキルカードを最大1枚選び、手札に加える。,[출격・신비 해방] 자신의 덱에서 EX 스킬 카드 1장을 선택하여 패로 가져온다.
C-T-030,黒見セリカ,쿠로미 세리카
C-T-030-T1,[出撃・神秘解放]相手の保健室のカードを最大X枚まで選んで、持ち主のデッキに戻す。(1枚も戻さなくてもよい。)その後、このターンのエンドフェイズまで、この生徒に+X/+0する。Xの値は、自分の<アビドス>の人数とする。,"[출격・신비 해방] 상대의 보건실에서 카드를 최대 X장까지 선택해 소유자의 덱으로 되돌린다. 그 후, 턴 종료 시까지 이 학생은 +X/+0을 얻는다. X는 필드에 있는 자신의 '아비도스' 학생 수이다."
C-T-030-T2,[自動]自分がシャーレカードかEXスキルカードをプレイした時、このターンのエンドフェイズまで、この生徒に+2/+2する。,"[자동] 자신이 샬레 카드 또는 EX 스킬 카드를 낼 때마다, 이 학생은 턴 종료 시까지 +2/+2을 얻는다."
C-T-029,奥空アヤネ,오쿠소라 아야네
C-T-029-T2,[永続]自分の<アビドス>全員に+0/+Xする。Xの値は、自分の<アビドス>の人数とする。,[지속] 자신의 모든 '아비도스' 학생은 +0/+X를 얻는다. X는 필드에 있는 자신의 '아비도스' 학생 수다.
C-T-029-T3,[自分のエンドフェイズ]自分の、『小鳥遊ホシノ』『砂狼シロコ』『十六夜ノノミ』『黒見セリカ』『奥空アヤネ』がある場合、デッキからシャーレカード1枚を手札に加えてもよい。,"[자신의 엔드 페이즈] 자신의 [타카나시 호시노],[스나오오카미 시로코],  [이자요이 노노미], [쿠로미 세리카], [오쿠소라 아야네] 모두가 필드에 있다면, 덱에서 샬레 카드 1장을 패로 가져올 수 있다."
X-T-031,お仕置きの時間です〜♣,혼날 시간이에요~♣
X-T-031-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに3ダメージを与える。
[EX-COMBO/十六夜ノノミ]このカードのコストは1になる。ダメージを与えた後、相手の保健室のカードを最大3枚まで選び、持ち主のデッキに戻し、シャッフルする。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다.
[EX-COMBO / 이자요이 노노미]이 카드의 코스트가 1이 된다. 대미지를 준 후, 상대의 보건실에서 카드를 최대 3장까지 선택해 소유자의 덱으로 되돌린 뒤, 덱을 셔플한다."
X-T-030,邪魔よ！,걸리적거리잖아!
X-T-030-T1,"カードを1枚引く。
[EX-COMBO/黒見セリカ]このカードのコストは0になる。次の相手のターンのエンドフェイズまで、自分の<アビドス>全員は、相手のカード効果によって疲労しない。","카드 1장을 뽑는다.
[EX-COMBO / 쿠로미 세리카]이 카드의 코스트가 0이 된다. 상대의 다음 엔드 페이즈까지, 자신의 모든 '아비도스' 학생들은 상대의 효과에 의해선 피로 상태가 되지 않는다."
X-T-028,戦術的鎮圧,전술 진압
X-T-028-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに3ダメージを与える。
[EX-COMBO/小鳥遊ホシノ]次の相手のターンのエンドフェイズまで、それらの生徒は全員、制圧できない。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다.
[EX-COMBO / 타카나시 호시노] 다음 상대 턴 종료 시까지 그 에어리어의 학생들은 제압할 수 없다."
X-T-027,ドローン召喚：火力支援,드론 소환 : 화력 지원
X-T-027-T1,"相手のカード1つを選び、3ダメージを与える。
[EX-COMBO/砂狼シロコ]このカードのコストは0になる。ダメージを与えた後、カードを1枚引く。","상대의 학생 또는 설치물 1개를 선택한다. 그 대상에게 3 대미지를 준다.
[EX-COMBO / 스나오오카미 시로코] 이 카드의 코스트가 0이 된다. 대미지를 준 후, 카드를 1장 뽑는다."
X-T-029,支援特急便,특급송달: 전투지원품
X-T-029-T1,"自分の保健室から、生徒カード最大1枚を選んで手札に戻す。
[EX-COMBO/奥空アヤネ]自分の手札から、出撃コストが自分の現在の最大コスト以下の<アビドス>を最大1人選び、出撃または神秘解放させる。","자신의 보건실에서 학생을 최대 1명까지 패로 가져올 수 있다.
[EX-COMBO / 오쿠소라 아야네]자신의 패에서, 자신의 현재 코스트 최대치 이하의 출격 코스트를 가진 '아비도스' 학생 1명을 선택해, 출격 또는 신비 해방 시킬 수 있다."
セミナー,セミナー,세미나
C-T-024,早瀬ユウカ,하야세 유우카
C-T-024-T1,[出撃・神秘解放]手札から2枚選んでデッキの一番下に戻し、カードを3枚引く。その後、デッキをシャッフルする。,"[출격・신비 해방]  패에서 카드 2장을 덱으로 되돌리고, 카드를 3장 뽑는다. 그 후, 덱을 셔플한다."
C-T-024-T2,[永続]この生徒が受けるダメージをX軽減する。Xの値は、この生徒のLvとする。,[지속] 이 학생이 받는 모든 피해를 X 줄인다. X는 이 학생의 Lv이다.
C-T-024-T3,[永続]この生徒以外の自分の<ゲーム開発部>または<セミナー>がある場合、この生徒に+0/+1する。,"[지속] 자신의 필드에 이 학생 이외의 '세미나' 또는 '게임개발부'가 있다면, 이 학생은 +0/+1을 얻는다."
C-T-025,生塩ノア,우시오 노아
C-T-025-T1,[出撃・神秘解放]現在のコストが3以下で<セミナー>の生徒、またはコストが3以下の生徒を手札から最大1人選び、出撃させる。,"[출격・신비 해방] 패에서 현재 코스트가 3 코스트 이하인 '세미나' 학생, 또는 3 코스트 이하의 학생 1명을 최대 1명까지 선택해 출격시킨다."
C-T-025-T2,[自分のスタンバイフェイズ]カードを1枚引く。,[자신의 스텐바이 페이즈] 카드를 1장 뽑는다.
